SMILES,vpa,Adduct,mz
[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC,511.7666666666667,[M+Na]+,914.6361544960926
[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC,511.7666666666667,[M-H]-,890.6396573439126
NC(=O)NCCC(O)=O,82.16666666666666,[M+H]+,133.06076856809
NC(=O)NCCC(O)=O,82.16666666666666,[M+Na]+,155.04271281609
NC(=O)NCCC(O)=O,82.16666666666666,[M-H]-,131.04621566391
[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O,139.03333333333333,[M+H]+,242.12476579209
[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O,139.03333333333333,[M+Na]+,264.10671004009
[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O,139.03333333333333,[M-H]-,240.11021288791
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,136.3,[M+H]+,245.09543982409
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,136.3,[M+Na]+,267.07738407209
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,136.3,[M-H]-,243.08088691991
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,179.73333333333332,[M+H]+,291.23185665209087
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,179.73333333333332,[M+Na]+,313.21380090009086
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,179.73333333333332,[M-H]-,289.2173037479108
[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,248.7,[M+H]+,385.3464924800913
[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,248.7,[M+Na]+,407.3284367280913
[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,248.7,[M-H]-,383.33193957591124
NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,133.09999999999997,[M+H]+,227.11386676009
NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,133.09999999999997,[M+Na]+,249.09581100808998
NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,133.09999999999997,[M-H]-,225.09931385591
NC1=C2NC=NC2=NC=N1,82.33333333333334,[M+H]+,136.06177161208998
NC1=C2NC=NC2=NC=N1,82.33333333333334,[M+Na]+,158.04371586009
NC1=C2NC=NC2=NC=N1,82.33333333333334,[M-H]-,134.04721870791
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,289.2333333333333,[M+H]+,516.2989502320911
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,289.2333333333333,[M+Na]+,538.2808944800911
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,289.2333333333333,[M-H]-,514.2843973279112
[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,204.43333333333334,[M+H]+,361.2009504480908
[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,204.43333333333334,[M+Na]+,383.1828946960908
[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,204.43333333333334,[M-H]-,359.18639754391074
C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,138.3,[M+H]+,240.10911572809
C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,138.3,[M+Na]+,262.09105997609
C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,138.3,[M-H]-,238.09456282391
CCCC(O)=O,62.266666666666666,[M+H]+,89.05970594809
CCCC(O)=O,62.266666666666666,[M+Na]+,111.04165019609
CCCC(O)=O,62.266666666666666,[M-H]-,87.04515304391
CC(O)=O,41.199999999999996,[M+H]+,61.02840582009
CC(O)=O,41.199999999999996,[M+Na]+,83.01035006809
CC(O)=O,41.199999999999996,[M-H]-,59.01385291591001
C[N+](C)(C)CC(O)=O,82.79999999999998,[M+H]+,119.09353149617999
C[N+](C)(C)CC(O)=O,82.79999999999998,[M+Na]+,141.07547574417998
C[N+](C)(C)CC(O)=O,82.79999999999998,[M-H]-,117.078978592
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,93.53333333333333,[M+H]+,177.03936442809
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,93.53333333333333,[M+Na]+,199.02130867609003
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,93.53333333333333,[M-H]-,175.02481152391002
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,173.00000000000003,[M+H]+,348.07036087009044
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,173.00000000000003,[M+Na]+,370.05230511809043
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,173.00000000000003,[M-H]-,346.0558079659104
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,175.8,[M+H]+,343.1234879760906
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,175.8,[M+Na]+,365.1054322240906
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,175.8,[M-H]-,341.10893507191054
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,144.33333333333334,[M+H]+,268.10403034809036
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,144.33333333333334,[M+Na]+,290.08597459609035
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,144.33333333333334,[M-H]-,266.0894774439103
N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,165.96666666666664,[M+H]+,291.12991074809054
N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,165.96666666666664,[M+Na]+,313.1118549960905
N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,165.96666666666664,[M-H]-,289.1153578439105
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,174.8,[M+H]+,287.20055652409076
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,174.8,[M+Na]+,309.18250077209075
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,174.8,[M-H]-,285.1860036199107
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,326.03333333333336,[M+H]+,585.2707613240909
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,326.03333333333336,[M+Na]+,607.2527055720909
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,326.03333333333336,[M-H]-,583.256208419911
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,177.0,[M+H]+,343.1234879760906
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,177.0,[M+Na]+,365.1054322240906
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,177.0,[M-H]-,341.10893507191054
NCCC(O)=O,59.86666666666666,[M+H]+,90.05495491609
NCCC(O)=O,59.86666666666666,[M+Na]+,112.03689916409
NCCC(O)=O,59.86666666666666,[M-H]-,88.04040201191
[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,162.3,[M+H]+,330.05979618609047
[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,162.3,[M+Na]+,352.04174043409046
[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,162.3,[M-H]-,328.0452432819104
CC(=O)CC(O)=O,65.49999999999999,[M+H]+,103.03897050409
CC(=O)CC(O)=O,65.49999999999999,[M+Na]+,125.02091475209001
CC(=O)CC(O)=O,65.49999999999999,[M-H]-,101.02441759991001
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,198.83333333333331,[M+H]+,428.0366913920904
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,198.83333333333331,[M+Na]+,450.0186356400904
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,198.83333333333331,[M-H]-,426.02213848791035
C[N+](C)(C)C[C@H](O)CC(O)=O,106.5,[M+H]+,163.11974624418
C[N+](C)(C)C[C@H](O)CC(O)=O,106.5,[M+Na]+,185.10169049218
C[N+](C)(C)C[C@H](O)CC(O)=O,106.5,[M-H]-,161.10519334
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,205.0333333333333,[M+H]+,363.21660051209085
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,205.0333333333333,[M+Na]+,385.19854476009084
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,205.0333333333333,[M-H]-,361.2020476079108
CN(CC(O)=O)C(N)=N,80.53333333333333,[M+H]+,132.07675298009
CN(CC(O)=O)C(N)=N,80.53333333333333,[M+Na]+,154.05869722809
CN(CC(O)=O)C(N)=N,80.53333333333333,[M-H]-,130.06220007591
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,254.1333333333333,[M+H]+,387.36214254409134
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,254.1333333333333,[M+Na]+,409.34408679209133
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,254.1333333333333,[M-H]-,385.3475896399113
CNC[C@H](O)C1=CC(O)=C(O)C=C1,115.43333333333332,[M+H]+,184.09681972809
CNC[C@H](O)C1=CC(O)=C(O)C=C1,115.43333333333332,[M+Na]+,206.07876397609
CNC[C@H](O)C1=CC(O)=C(O)C=C1,115.43333333333332,[M-H]-,182.08226682391
OC(=O)C1CCCCN1,83.53333333333333,[M+H]+,130.08625504409
OC(=O)C1CCCCN1,83.53333333333333,[M+Na]+,152.06819929209001
OC(=O)C1CCCCN1,83.53333333333333,[M-H]-,128.07170213991
OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,136.5,[M+H]+,253.09313131609
OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,136.5,[M+Na]+,275.07507556409
OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,136.5,[M-H]-,251.07857841191
OC(=O)C\C(=C\C(O)=O)C(O)=O,94.29999999999998,[M+H]+,175.02371436409
OC(=O)C\C(=C\C(O)=O)C(O)=O,94.29999999999998,[M+Na]+,197.00565861209003
OC(=O)C\C(=C\C(O)=O)C(O)=O,94.29999999999998,[M-H]-,173.00916145991002
NCCC1=CC(O)=C(O)C=C1,99.6,[M+H]+,154.08625504409
NCCC1=CC(O)=C(O)C=C1,99.6,[M+Na]+,176.06819929209001
NCCC1=CC(O)=C(O)C=C1,99.6,[M-H]-,152.07170213991
O=C1CCNC(=O)N1,68.3,[M+H]+,115.05020388409
O=C1CCNC(=O)N1,68.3,[M+Na]+,137.03214813209001
O=C1CCNC(=O)N1,68.3,[M-H]-,113.03565097991
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,176.66666666666666,[M+H]+,289.2162065880908
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,176.66666666666666,[M+Na]+,311.1981508360908
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,176.66666666666666,[M-H]-,287.20165368391076
N[C@@H](CS)C(=O)NCC(O)=O,103.8,[M+H]+,179.04848963209
N[C@@H](CS)C(=O)NCC(O)=O,103.8,[M+Na]+,201.03043388009002
N[C@@H](CS)C(=O)NCC(O)=O,103.8,[M-H]-,177.03393672791
