SMILES,Adduct,True CCS,vpa,bond_lengths
C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,[M+Na]+,198.5933821,196.43333333333334,"[1.5254806325635546, 1.523407966106042, 1.534544055135624, 1.533051517413679, 1.5283970536186162, 1.445688310185949, 1.3535115198127723, 1.2213263755783594, 1.4789036092591263, 1.4097279407211833, 1.3956022607036223, 1.3895428652526052, 1.3952046229122512, 1.4095243450230106, 1.477195626730556, 1.2208554541979995, 1.3534754877921151, 1.4437743292533014, 1.5331960167609864, 1.5261202323299305, 1.5253909596575912, 1.5252737061261599, 1.5243574044245787, 1.5257902376878905, 1.397858111695637, 1.532548845289429]"
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+H]+,210.9954581,246.9,"[1.2186469031453055, 1.354638143705805, 1.4318310251877078, 1.5268620125412546, 1.5332260367105637, 1.5318945125773358, 1.5307543662417293, 1.5330480893511966, 1.5308025115773387, 1.5204426395312038, 1.4716351557891993, 1.4013966533500137, 1.3960675335923012, 1.3951990127592009, 1.3966798723948004, 1.4021779925909046, 1.4743561338467739, 1.2188310947549417, 1.3550733902403902, 1.43475741962999, 1.5253274396218606, 1.529344800825266, 1.5313486985746254, 1.5307664572224007, 1.5312587135727802, 1.5299195283667317, 1.5210593224384295, 1.397427449240823]"
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+Na]+,217.0850719,251.3,"[1.222885282048171, 1.3584154059048126, 1.4360596007514517, 1.526493843091575, 1.5332104917977656, 1.53199311870082, 1.5305426357071843, 1.5340633271193707, 1.533353756645985, 1.5246354190698204, 1.4795148660636805, 1.4067334519419696, 1.3967519731997469, 1.3919284435409414, 1.3960532209041716, 1.4079563530653556, 1.475683977755208, 1.217424708815141, 1.3551071769237357, 1.4346469531652921, 1.5278265057375404, 1.5342507091058069, 1.5324336075561502, 1.5319580687782437, 1.533312109129264, 1.5307282478291584, 1.521231918606175, 1.3995292112648863]"
N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,[M+Na]+,147.917449,117.76666666666668,"[1.4760716774298364, 1.5441364145358976, 1.433433236766918, 1.55180521777996, 1.4374843781997368, 1.5494570694430088, 1.442356551382168, 1.5497343493952807, 1.437333740992292, 1.5318298986561858, 1.422247322272699, 1.4617512299062203]"
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M+H]+,151.1263181,148.2,"[1.5188389879933832, 1.4268120124490629, 1.3688473405371566, 1.4039263787662715, 1.400683343472193, 1.3945596309936221, 1.3985509654778066, 1.4114876907669618, 1.3838960119041817, 1.2255100828707193, 1.5084956568791579, 1.4013653962110308, 1.478803183579659, 1.2214437263859952, 1.3550138688319748, 1.4264637837827685, 1.4034584497765166]"
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M+Na]+,166.1653336,147.3,"[1.5172350235602754, 1.4331886034957835, 1.3702872923623801, 1.3983557225827763, 1.400479443645615, 1.3980794535758494, 1.4000938170515655, 1.4105311933733427, 1.3835561977890396, 1.2257494971262426, 1.5086044695286527, 1.3972215186407122, 1.4793806579763642, 1.2215956176579825, 1.3552664095166167, 1.4269163066187267, 1.4038907407218082]"
CC1(CCC[C@@]2(C1=CC(=O)O2)C)C,[M+H]+,138.9284798,114.10000000000002,"[1.5385470811761786, 1.5548317648115073, 1.5307300174730434, 1.5368211979426853, 1.5376204224963275, 1.4915867090258557, 1.3340331685799416, 1.461180211984959, 1.2167703329589952, 1.3596214204509012, 1.5321098559376087, 1.5447029726759278, 1.5133942228849895, 1.4363853959271184]"
C1=CC=C(C=C1)CCC(=O)C=CC=CC2=CC=CC=C2,[M+H]+,168.7256995,172.9,"[1.3936303602120326, 1.3956352693005436, 1.4012194055586704, 1.4012071446307817, 1.3957139549328343, 1.5091495549075002, 1.5283228323142355, 1.5121454347164143, 1.232237807342204, 1.4917565595647053, 1.3414214200644827, 1.4446090104579938, 1.343009180471279, 1.470572968062099, 1.4009328260045828, 1.3972433305191974, 1.393154772093947, 1.3931595002682227, 1.3973226318980223, 1.3936605284815435, 1.4016321725066474]"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(O)cc1)O)O)O)O,[M+H]+,242.4290697,298.50000000000006,"[1.526014373785374, 1.539696384238219, 1.527287454324986, 1.534301028041466, 1.5496866223435932, 1.4321419087898601, 1.4383177566448704, 1.368522475621163, 1.3949597207897775, 1.3950086648529398, 1.3977321460390448, 1.3874704695553053, 1.3981068501852356, 1.36924432510509, 1.3863767759602736, 1.3481574904430418, 1.4888037957305587, 1.2284370099572022, 1.387535679805298, 1.4367608646409031, 1.5516455395195627, 1.533230625633409, 1.5426535198834694, 1.5405482747391366, 1.4300842276713004, 1.5217454904116319, 1.427776751418517, 1.4430841907770928, 1.4347484120305143, 1.4762973708223794, 1.4015755270833945, 1.3960674221310365, 1.3884937601285445, 1.363754989810165, 1.3900739953279644, 1.3974731875418172, 1.369888099898585, 1.4441649735247555, 1.440374195246125, 1.4289666762037636, 1.4326747013398675, 1.3990003447733603, 1.4418692086082643, 1.404060575881331, 1.4667989730453905]"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(O)cc1)O)O)O)O,[M+Na]+,250.6957665,299.4,"[1.5262662199080588, 1.5378066187611952, 1.528843764154363, 1.5367439364583473, 1.5509692539729558, 1.4282583681373355, 1.4357893866841605, 1.3659217481227723, 1.398242075425253, 1.4004995833989728, 1.3990121645921867, 1.3941961051725307, 1.3998560473712602, 1.3731329049719445, 1.3786479900702908, 1.3458121548414945, 1.4920414191393545, 1.2241797453948582, 1.3854798212891408, 1.439377131328659, 1.546922184504103, 1.5356436344058901, 1.5298546892020115, 1.5430683882378688, 1.4364805653470603, 1.527646582924872, 1.4275789989696115, 1.4394916703366176, 1.448200798521453, 1.470484248515354, 1.4020116523433361, 1.3978506352096491, 1.3906302059307183, 1.3624582148629663, 1.3899408625885417, 1.3958628524420267, 1.3654320741367405, 1.4438818982695638, 1.4395131617811836, 1.428310171831813, 1.4338903186554905, 1.3914446664028381, 1.4234637940014199, 1.4015583314668758, 1.4843729190174242]"
